feature_id,display_name_ko,source_type,process_step,module,metric_type,aggregation,wafer_region,wl_or_layer,observed_stage,temporal_relation_to_target,causal_role,leakage_risk,controllability,mechanism_group,interpretation_template_ko
fdc_cvd_pressure_slope_p95,CVD 압력 기울기 P95(pressure slope),FDC,CVD,CVD,pressure_slope,p95,chamber,-,in_situ_CVD,before_target,root_cause_candidate,low,semi_controllable,CVD_pressure_instability,CVD 챔버 압력 불안정(pressure instability)이 상류 원인 후보입니다.
fdc_cvd_rf_power_std,CVD RF 파워 표준편차(RF power std),FDC,CVD,CVD,rf_power_std,std,chamber,-,in_situ_CVD,before_target,root_cause_candidate,low,semi_controllable,CVD_RF_instability,RF 파워 변동(RF instability)이 압력 불안정과 동반되는 상류 신호입니다.
fdc_etch_temp_range,Etch 온도 범위(temp range),FDC,ETCH,ETCH,temp_range,range,chamber,-,in_situ_etch,before_target,root_cause_candidate,low,controllable,Etch_thermal,Etch 온도 범위는 부차적 공정 변동 후보입니다.
metro_thk_edge_wl128,Edge 두께 비균일 wl128(edge thickness),METROLOGY,CVD_POST_METRO,METRO,thickness,edge_mean,edge,wl128,post_CVD_metrology,before_target,mediator_candidate,low,not_directly_controllable,edge_thickness_nonuniformity,Edge 두께 비균일(non-uniformity)은 CVD 불안정의 결과인 중간 매개(mediator) 신호입니다.
metro_thk_edge_wl160,Edge 두께 비균일 wl160(edge thickness),METROLOGY,CVD_POST_METRO,METRO,thickness,edge_mean,edge,wl160,post_CVD_metrology,before_target,mediator_candidate,low,not_directly_controllable,edge_thickness_nonuniformity,Edge 두께 비균일(non-uniformity)은 CVD 불안정의 결과인 중간 매개(mediator) 신호입니다.
metro_cd_center_wl160,Center CD wl160,METROLOGY,CVD_POST_METRO,METRO,critical_dimension,center_mean,center,wl160,post_CVD_metrology,before_target,mediator_candidate,low,not_directly_controllable,CD_center,Center CD는 약한 매개(mediator) 신호입니다.
queue_time_before_etch,Etch 전 대기시간(queue time),MES,QUEUE,LOGISTICS,queue_time,hours,lot,-,between_steps,before_target,root_cause_candidate,low,controllable,queue_time,Etch 전 대기시간(queue time)은 부차적 controllable 원인 후보입니다.
prev_defect_count_after_metro,이전 결함 카운트(prior defect count),DEFECT_INSPECTION,INSPECTION,DEFECT,defect_count,count,wafer,-,post_metro_inspection,before_target,proxy_indicator,medium,not_controllable,prior_defect_signal,이전 결함 카운트는 조기 경보(proxy)일 뿐 상류 원인이 아닙니다.
recipe_ppid_77a_flag,PPID_77A 레시피 플래그(recipe flag),MES,CVD,RECIPE,flag,binary,lot,-,recipe_assignment,before_target,confounder,low,controllable,recipe_grouping,PPID_77A는 원인과 결과 모두와 연관된 교란(confounder) 그룹 변수입니다.
product_id,제품 ID(product),MES,-,PRODUCT,category,-,lot,-,lot_attribute,before_target,confounder,low,not_controllable,product_grouping,제품 ID는 배경 교란(confounder) 변수입니다.
route_id,라우트 ID(route),MES,-,ROUTE,category,-,lot,-,lot_attribute,before_target,confounder,low,not_controllable,route_grouping,라우트 ID는 배경 교란(confounder) 변수입니다.
final_eds_proxy_leakage_feature,최종 EDS 근접 지표(leakage proxy),EDS,FINAL_TEST,EDS,proxy,-,wafer,-,after_target,after_or_derived_from_target,leakage_or_post_outcome,high,not_controllable,post_outcome_proxy,"최종 EDS 지표는 target에서 파생된 누설(leakage)로, 인과 해석에서 제외합니다."
